gene_name,gene_id_x,transcript_id,biotype,gene_id_y,exon_coverage,CDS_coverage
SDR39U1,ENSG00000100445,ENST00000399395,transcript,ENSG00000100445,31.88815417,32.04424281
ZNF750,ENSG00000141579,ENST00000269394,transcript,ENSG00000141579,32.51738675,32.04434761
DPYSL2,ENSG00000092964,ENST00000311151,transcript,ENSG00000092964,32.16489211,32.04441086
GIN1,ENSG00000145723,ENST00000399004,transcript,ENSG00000145723,32.11307606,32.04445247
PAPLN,ENSG00000100767,ENST00000340738,transcript,ENSG00000100767,32.07610755,32.04458997
FGF1,ENSG00000113578,ENST00000359370,transcript,ENSG00000113578,32.10107126,32.04501167
EYA2,ENSG00000064655,ENST00000327619,transcript,ENSG00000064655,31.67690708,32.04504283
TAS2R10,ENSG00000121318,ENST00000240619,transcript,ENSG00000121318,32.04886852,32.04512812
KRTAP10-11,ENSG00000243489,ENST00000334670,transcript,ENSG00000243489,32.48364749,32.04536913
AK2,ENSG00000004455,ENST00000354858,transcript,ENSG00000004455,32.09296706,32.04543359
OSER1,ENSG00000132823,ENST00000372970,transcript,ENSG00000132823,32.41316422,32.04548377
MTMR4,ENSG00000108389,ENST00000323456,transcript,ENSG00000108389,32.05853739,32.04548967
GPRIN3,ENSG00000185477,ENST00000609438,transcript,ENSG00000185477,31.02901612,32.04554167
TACR3,ENSG00000169836,ENST00000304883,transcript,ENSG00000169836,31.95585504,32.04555376
ARHGEF38,ENSG00000236699,ENST00000420470,transcript,ENSG00000236699,31.99338989,32.04558819
TRUB1,ENSG00000165832,ENST00000298746,transcript,ENSG00000165832,31.87650418,32.04564952
IL10RA,ENSG00000110324,ENST00000227752,transcript,ENSG00000110324,31.99233816,32.04579105
C20orf194,ENSG00000088854,ENST00000252032,transcript,ENSG00000088854,31.93431845,32.04579251
HNRNPM,ENSG00000099783,ENST00000325495,transcript,ENSG00000099783,32.11128534,32.04596328
PIGZ,ENSG00000119227,ENST00000412723,transcript,ENSG00000119227,31.5224013,32.04601057
THNSL2,ENSG00000144115,ENST00000324166,transcript,ENSG00000144115,32.01642337,32.04615716
TMC3,ENSG00000188869,ENST00000359440,transcript,ENSG00000188869,32.02574686,32.04618973
C20orf24,ENSG00000101084,ENST00000342422,transcript,ENSG00000101084,32.30648759,32.04634551
SATB1,ENSG00000182568,ENST00000417717,transcript,ENSG00000182568,31.72656378,32.04636018
TRIM50,ENSG00000146755,ENST00000333149,transcript,ENSG00000146755,31.69326917,32.04650381
SRSF1,ENSG00000136450,ENST00000258962,transcript,ENSG00000136450,32.07411394,32.04660465
ZNF177,ENSG00000270011,ENST00000541595,transcript,ENSG00000270011,31.78821711,32.04668723
TEX40,ENSG00000219435,ENST00000328404,transcript,ENSG00000219435,31.88012746,32.04681136
